BRAND NAME,PRODUCT NAME,CATEGORY,SUBCATEGORY,INGREDIENTS,NOVA Group
Cristaline,"Eau de Source - Cristaline - 1,5 L","Beverages,  Waters"," Waters,  Spring waters",water,Unprocessed or minimally processed foods
"Lu, Mondelez",Whole Wheat Chocolate Biscuits - Lu - 300 g,"Snacks,  Sweet snacks"," Biscuits and cakes,  Biscuits","French: 
                    
                    Céréale 50,7% (Farine de blé 35%, farine de _blé_complète 15,7%), sucre, huiles végétales (palme, colza), cacao maigre en poudre 4,5%, sirop de glucose, amidon de blé, poudres à lever (carbonates acide d'ammonium, carbonates acide de sodium, diphosphate disodique), émulsifiant (lécithines de soja, lécithine de tournesol), sel, lait écrémé en poudre, lactose et protéines de lait, arômes.Peut Contenir Oeuf",Ultra processed foods
Ferrero,Nutella - Ferrero - 1 kg,"Breakfasts,  Fats"," Chocolate spreads,  Cocoa and hazelnuts spreads","sugar, palm oil, hazelnuts 13%, skim milk powder 8,7%, lean cocoa 7,4%, emulsifiers: lecithins [ soy ] vanillin, gluten-free",Ultra processed foods
Gerblé,"Gerblé - Sesame Cookie, 230g (8.2oz)","Snacks,  Sweet snacks"," Biscuits,  Dry biscuits","Farine de blé, sucre de canne roux, huile de colza, sésame toasté 10,6%, germe de blé 5,4%, farine complète de blé 5,4%, arôme naturel, magnésium, émulsifiant : lécithines de colza, poudres à lever (tartrates de potassium, carbonates de sodium, carbonates d'ammonium), sel de mer, amidon de blé, vitamines (E, PP, B6, B1, B9).",Ultra processed foods
Coca cola,Coca-cola - 330 mL,"Beverages,  Carbonated drinks"," Carbonated soft drinks without fruit juice with sugar,  Sweetened beverages","carbonated water, sugar, coloring, e150d, acidifier, phosphoric acid, natural flavors (plant extracts, caffeine)",Ultra processed foods
Ferrero,Hazelnut Spread - Ferrero - 400 g,"Breakfasts,  Spreads"," Chocolate spreads,  Cocoa and hazelnuts spreads","blueberries, sugar, pectin, citric acid",Ultra processed foods
The Coca-Cola Company,Carbonated softdrink with cola taste - The Coca-Cola Company - 330 ml,"Beverages,  Carbonated drinks"," Sodas,  Colas","water, sugar, carbon dioxide, colour E150d, acid: phosphoric acid, natural flavourings, flavour caffeine",Ultra processed foods
"Marmite, Unilever",Yeast Extract - Marmite - 250 g,"Spreads,  Salted spreads"," Salted spreads,  Yeast extract spreads","Yeast extract (contains BARLEY, WHEAT, OATS, RYE), salt, vegetable juice concentrate, vitamins (thiamin, riboflavin, niacin, vitamin B12 and folic acid), natural flavouring (contains CELERY).",Ultra processed foods
Cristaline,Eau de source - Cristaline - 50 cl,"Beverages,  Waters"," Spring waters,  Unsweetened beverages",": 
                    
                    Eau de source",Unprocessed or minimally processed foods
Coca-Cola,Coca Cola Zero - 330 ml,"Beverages,  Carbonated drinks"," Diet sodas,  Diet cola soft drink","carbonated water, colouring (e150d), acidifier (phosphoric acid), sweeteners (aspartame, acesulfame-k), natural flavors, caffeine aroma, acidity regulator (sodium citrates), contains a source of phenylalanin",Ultra processed foods
Domaine de Bournissac,Huile d'olive vierge extra - Domaine de Bournissac - 500 ml,"Plant-based foods and beverages,  Plant-based foods"," Extra-virgin olive oils,  Virgin olive oils","Elements that indicate the product is in the 2 - Processed culinary ingredients group:

Category: Fats",Processed culinary ingredients
Tesco,Roast Chicken Gravy - Tesco,"Condiments,  Gravy","Condiments,  Gravy","Water, Cornflour, Yeast Extract, Chicken Fat, Sauvignon Blanc (1.5%), Salt, Chicken Extract, Sage, Black Pepper, Carrot, Onion, Tomato Paste, Bay Leaf, Thyme.",Processed foods
Zurück zum Ursprung,Ziegenfrischkäse Natur - Zurück zum Ursprung - 1pcs,"Dairies,  Fermented foods"," Fresh cheeses,  Cream cheeses","German: 
                    
                    Ziegenfrischkäse, Salz",Processed foods
Springfoods,Kilishi - springfoods - 1 pack,"Meats and their products,  Meat preparations"," Meats,  Farming products","German: 
                    
                    1 kg Beef

1/2 teaspoon garlic powder 

1/2 teaspoon clove powder

1/2-pinch of ginger powder 

Seasoning cubes 

2 pinch salt 

Spices: 1/2 paprika

2 teaspoons of Suya spice 

1/3 cup oil",Food processing level unknown
President,President,uk:Крем-сир,uk:Крем-сир,The ingredients of the product must be specified in order to determine the NOVA group.,Food processing level unknown
Chocolaterie Monbana,Chocolat noir 65% de cacao - Chocolaterie Monbana,"Snacks,  Sweet snacks"," Dark chocolates,  Dark chocolate bar with less than 70% cocoa",The ingredients of the product must be specified in order to determine the NOVA group.,Food processing level unknown
Muscle Foood,High Protein Chicken & Chorizo Paella - Muscle Foood - 380g,"Meals,  Rice dishes"," Rice dishes,  Chicken and chorizo paella","Cooked Long Grain Rice (29%) [Water, Long Grain Rice], Paella Sauce [Water, Onion, Rapeseed Oil, Garlic Puree, Lemon Juice from Concentrate, Chopped Parsley, Paprika, Vegetable Stock (Maltodextrin, Yeast Extract, Sugar, Salt, Vegetable Powder (Carrot, Onion, Tomato)), Xanthan Gum, Ground Black Pepper], Cooked Chicken (21%) [Chicken, Salt], Peas (8%), Semi Dried Marinated Cherry Tomato Halves (7%) [Semi Dried Tomato, Sunflower Oil, Salt, Garlic, Oregano], Diced Red Peppers (7%), Diced Chorizo (5%) (Pork, Pork Fat, Pork Rind, Paprika, Salt, Preservative: Sodium Nitrite; Spices, Spice Extract, Glucono delta-lactone, Dextrose, Garlic, Antioxidant: Sodium Ascorbate; Nutmeg).",Ultra processed foods
Pizza Express,Pizza express margherita - 393g,"Meals,  Pizzas pies and quiches"," Vegetarian pizzas,  Margherita Pizza","Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Mozzarella Cheese (Milk) (11%), Water, Tomato, Cheddar Cheese (Milk) (7%), Tomato Purée, Mascarpone Cheese (Milk) (5%) (Cream (Milk), Milk Proteins), Regato Cheese (Milk) (3%), Rapeseed Oil, Semolina (Wheat), Salt, Sugar, Lemon Juice, Yeast, Parsley, Black Pepper, Basil, Oregano, Flour Treatment Agent (Ascorbic Acid).",Ultra processed foods
Condi,Gelatina sabor Morango - Condi - 114 g,"Desserts,  Cooking helpers"," Jelly desserts,  Mixes for jelly desserts",The ingredients of the product must be specified in order to determine the NOVA group.,Food processing level unknown
Boni,Salade de blé - Boni,,,The ingredients of the product must be specified in order to determine the NOVA group.,Food processing level unknown
Coca-Cola,Coca-Cola - 500 ml,"Beverages and beverages preparations,  Beverages"," Colas,  Sweetened beverages","carbonated water, sugar, colour (caramel energ e150d), acid (phosphoric acid), natural flavourings including caffeine",Ultra processed foods
"Alesto, Lidl, Solent",Californian Almond - Alesto - 200g,"Plant-based foods and beverages,  Plant-based foods"," Pflanzliche Lebensmittel,  Pflanzliche Lebensmittel und Getränke",shelled almonds,Unprocessed or minimally processed foods
"Alvalle, Pepsico",Alvalle Gazpacho l'original - 1L,"Plant-based foods and beverages,  Plant-based foods"," Cold soups,  Gazpacho","tomato, pepper, cucumber, onion, extra virgin olive oil (2.6%), wine vinegar, salt, garlic, lemon juice",Processed foods
Ferrero,Ferrero - 350 g,"Breakfasts,  Spreads"," Chocolate spreads,  Cocoa and hazelnuts spreads","sugar, palm oil, hazelnuts (13%), skimmed milk powder (8,7%), fat-reduced cocoa (7,4%), emulsifier: lecithins (soya), vanillin",Ultra processed foods
Lindt,Chocolate Excellence - Lindt - 100 g,"Snacks,  Sweet snacks"," Dark chocolate bar,  Dark chocolate bar with more than 70% cocoa","cocoa paste, sugar, cocoa butter, vanilla.",Processed foods
"Nutella, Ferrero",Nutella - 200 g,"Plant-based foods and beverages,  Plant-based foods"," Chocolate spreads,  Cocoa and hazelnuts spreads","sugar, palm oil, hazelnuts (13%), skimmed milk powder (8,7%), reduced-fat cocoa powder (7,4%), emulsifier: lecithins (soybeans), vanillin",Ultra processed foods
Wasa,Tartine croustillante FIBRES - Wasa - 230 g,"Plant-based foods and beverages,  Plant-based foods"," Breads,  Crispbreads","whole rye flour (57 g), wheat bran (27 g), oatmeal (13 g), sesame seeds (7.9 g), wheat germ, salt.",Processed foods
"San Pellegrino, Nestlé",S. Pellegrino Water - San Pellegrino - 1 L,"Beverages,  Carbonated drinks"," Carbonated natural mineral waters,  Boissons-sans-sucre-ajoute",carbonated water 100%,Unprocessed or minimally processed foods
"Lindt, Lindt & Sprüngli",90% cocoa - Lindt - 100 g,"Snacks,  Sweet snacks"," Chocolates,  Dark chocolates","cocoa mass, cocoa butter, low fat cocoa powder, sugar",Processed foods
Lindt,Excellence 85% Cacao Chocolat Noir Puissant Lindt % Lindt - 100g,"Snacks,  Sweet snacks"," Dark chocolates,  Dark chocolate bar","Pâte de cacao, cacao maigre, beurre de cacao, cassonade, vanille bourbon naturelle en gousse.",Processed foods
Alesto,Anacardi - Alesto - 200g,"Plant-based foods and beverages,  Plant-based foods"," Nuts,  Cashew nuts",cashews,Unprocessed or minimally processed foods
LU,TUC Original - LU - 100 g,"Snacks,  Salty snacks"," Appetizers,  Crackers","wheat flour, sunflower oil 17 %, barley malt extract, glucose syrup, raising agents (ammonium carbonates, sodium carbonates), table salt 1,4 %, eggs, flavouring, flour treatment agent (sodium metabisulphite)",Ultra processed foods
Volvic,"Volvic - 1,5 L","Beverages and beverages preparations,  Beverages"," Mineral waters,  Natural mineral waters",natural mineral water,Unprocessed or minimally processed foods
"La Salvetat, Danone","La salvetat - 1,15 L","Beverages,  Carbonated drinks"," Natural mineral waters,  Carbonated mineral waters",spring water,Unprocessed or minimally processed foods
"Pulco, Schweppes International Limited, Orangina Schweppes France",Pulco Lemon - 70 cl,"Plant-based foods and beverages,  Beverages"," Flavoured syrups,  Lemon base for beverage without sugar to be diluted","water, concentrated juice: lemon 35.5% and orange 4.5% (equivalent to 40% reconstituted juice), lemon pulp 5%, acidifier: citric acid, natural lemon extract.",Unprocessed or minimally processed foods
