Image Links,BRAND NAME,PRODUCT NAME,CATEGORY,SUBCATEGORY,INGREDIENTS,NOVA Group
https://images.openfoodfacts.org/images/products/327/408/000/5003/front_en.797.400.jpg,Cristaline,"Eau de Source - Cristaline - 1,5 L","Beverages,  Waters"," Waters,  Spring waters",water,Unprocessed or minimally processed foods
https://images.openfoodfacts.org/images/products/762/221/044/9283/front_en.605.400.jpg,"Lu, Mondelez",Whole Wheat Chocolate Biscuits - Lu - 300 g,"Snacks,  Sweet snacks"," Biscuits and cakes,  Biscuits","French: 
                    
                    Céréale 50,7% (Farine de blé 35%, farine de _blé_complète 15,7%), sucre, huiles végétales (palme, colza), cacao maigre en poudre 4,5%, sirop de glucose, amidon de blé, poudres à lever (carbonates acide d'ammonium, carbonates acide de sodium, diphosphate disodique), émulsifiant (lécithines de soja, lécithine de tournesol), sel, lait écrémé en poudre, lactose et protéines de lait, arômes.Peut Contenir Oeuf",Ultra processed foods
https://images.openfoodfacts.org/images/products/301/762/042/5035/front_en.488.400.jpg,Ferrero,Nutella - Ferrero - 1 kg,"Breakfasts,  Fats"," Chocolate spreads,  Cocoa and hazelnuts spreads","sugar, palm oil, hazelnuts 13%, skim milk powder 8,7%, lean cocoa 7,4%, emulsifiers: lecithins [ soy ] vanillin, gluten-free",Ultra processed foods
https://images.openfoodfacts.org/images/products/317/568/001/1480/front_en.221.400.jpg,Gerblé,"Gerblé - Sesame Cookie, 230g (8.2oz)","Snacks,  Sweet snacks"," Biscuits,  Dry biscuits","Farine de blé, sucre de canne roux, huile de colza, sésame toasté 10,6%, germe de blé 5,4%, farine complète de blé 5,4%, arôme naturel, magnésium, émulsifiant : lécithines de colza, poudres à lever (tartrates de potassium, carbonates de sodium, carbonates d'ammonium), sel de mer, amidon de blé, vitamines (E, PP, B6, B1, B9).",Ultra processed foods
https://images.openfoodfacts.org/images/products/544/900/021/4911/front_fr.224.400.jpg,Coca cola,Coca-cola - 330 mL,"Beverages,  Carbonated drinks"," Carbonated soft drinks without fruit juice with sugar,  Sweetened beverages","carbonated water, sugar, coloring, e150d, acidifier, phosphoric acid, natural flavors (plant extracts, caffeine)",Ultra processed foods
https://images.openfoodfacts.org/images/products/301/762/042/2003/front_en.633.400.jpg,Ferrero,Hazelnut Spread - Ferrero - 400 g,"Breakfasts,  Spreads"," Chocolate spreads,  Cocoa and hazelnuts spreads","blueberries, sugar, pectin, citric acid",Ultra processed foods
https://images.openfoodfacts.org/images/products/544/900/000/0996/front_en.736.400.jpg,The Coca-Cola Company,Carbonated softdrink with cola taste - The Coca-Cola Company - 330 ml,"Beverages,  Carbonated drinks"," Sodas,  Colas","water, sugar, carbon dioxide, colour E150d, acid: phosphoric acid, natural flavourings, flavour caffeine",Ultra processed foods
https://images.openfoodfacts.org/images/products/50184453/front_en.78.400.jpg,"Marmite, Unilever",Yeast Extract - Marmite - 250 g,"Spreads,  Salted spreads"," Salted spreads,  Yeast extract spreads","Yeast extract (contains BARLEY, WHEAT, OATS, RYE), salt, vegetable juice concentrate, vitamins (thiamin, riboflavin, niacin, vitamin B12 and folic acid), natural flavouring (contains CELERY).",Ultra processed foods
https://images.openfoodfacts.org/images/products/326/884/000/1008/front_fr.377.400.jpg,Cristaline,Eau de source - Cristaline - 50 cl,"Beverages,  Waters"," Spring waters,  Unsweetened beverages",": 
                    
                    Eau de source",Unprocessed or minimally processed foods
https://images.openfoodfacts.org/images/products/544/900/021/4799/front_en.203.400.jpg,Coca-Cola,Coca Cola Zero - 330 ml,"Beverages,  Carbonated drinks"," Diet sodas,  Diet cola soft drink","carbonated water, colouring (e150d), acidifier (phosphoric acid), sweeteners (aspartame, acesulfame-k), natural flavors, caffeine aroma, acidity regulator (sodium citrates), contains a source of phenylalanin",Ultra processed foods
